condition,classifier,n,classifier_pass_count,guard_trigger_pct,parallel_two_guard_calls_per_email,one_guard_calls_per_email
clean_legitimate,claude-sonnet-4.6,1416,1412,99.71751412429379,2.9943502824858754,1.9971751412429377
clean_phishing,claude-sonnet-4.6,1519,43,2.8308097432521397,1.0566161948650428,1.0283080974325214
I0,claude-sonnet-4.6,1519,23,1.5141540487162608,1.0302830809743253,1.0151415404871627
ICL_poison,claude-sonnet-4.6,1519,606,39.89466754443713,1.7978933508887427,1.3989466754443713
CoT_fewshot,claude-sonnet-4.6,1519,252,16.589861751152075,1.3317972350230414,1.1658986175115207
Auth_cot_combo,claude-sonnet-4.6,1519,28,1.8433179723502304,1.0368663594470047,1.0184331797235022
guard_aware_inj,claude-sonnet-4.6,1519,45,2.9624753127057275,1.0592495062541145,1.0296247531270573
I1_refusal_redirect,claude-sonnet-4.6,1519,1068,70.30941408821593,2.4061882817643188,1.7030941408821594
I1,claude-sonnet-4.6,1519,44,2.8966425279789334,1.0579328505595786,1.0289664252797894
I2,claude-sonnet-4.6,1519,38,2.5016458196181697,1.0500329163923634,1.0250164581961816
