model,condition,n,accuracy,target_n,target_recall
claude-sonnet-4.6,baseline,160,97.5,80,96.2
claude-sonnet-4.6,i0,80,98.8,80,98.8
claude-sonnet-4.6,i1,80,95.0,80,95.0
claude-sonnet-4.6,sandwich_i0,80,98.8,80,98.8
claude-sonnet-4.6,sandwich_i1,80,98.8,80,98.8
gemini-3.5-flash,baseline,160,98.8,80,98.8
gemini-3.5-flash,i0,80,100.0,80,100.0
gemini-3.5-flash,i1,80,55.0,80,55.0
gemini-3.5-flash,sandwich_i0,80,98.8,80,98.8
gemini-3.5-flash,sandwich_i1,80,97.5,80,97.5
gpt-5.4-mini,baseline,160,99.4,80,98.8
gpt-5.4-mini,i0,80,98.8,80,98.8
gpt-5.4-mini,i1,80,97.5,80,97.5
gpt-5.4-mini,sandwich_i0,80,98.8,80,98.8
gpt-5.4-mini,sandwich_i1,80,98.8,80,98.8
claude-opus-4.8,baseline,160,98.8,80,97.5
claude-opus-4.8,i0,80,97.5,80,97.5
claude-opus-4.8,i1,80,96.2,80,96.2
claude-opus-4.8,sandwich_i0,80,98.8,80,98.8
claude-opus-4.8,sandwich_i1,80,98.8,80,98.8
gpt-5.5,baseline,160,99.4,80,98.8
gpt-5.5,i0,80,98.8,80,98.8
gpt-5.5,i1,80,100.0,80,100.0
gpt-5.5,sandwich_i0,80,98.8,80,98.8
gpt-5.5,sandwich_i1,80,100.0,80,100.0
gemini-3.1-pro-preview,baseline,160,100.0,80,100.0
gemini-3.1-pro-preview,i0,80,100.0,80,100.0
gemini-3.1-pro-preview,i1,80,12.5,80,12.5
gemini-3.1-pro-preview,sandwich_i0,80,100.0,80,100.0
gemini-3.1-pro-preview,sandwich_i1,80,80.0,80,80.0
